"Label","Eqpt ID(Hex)","Parameter Name","Units","Range(Scale)","Sig Bits","Pos Sense","Resolution","Min Transit Interval(msec) 2","Max Transit Interval(msec) 2","Max Trans-port Delay(msec) 3","Notes & Cross Ref. to Tables and Attachments"
,"1 0 B","Variable Bleed Valve Position           ","%        ","-5 to 105",11,,0.063,500,1000,,
,,,,,,,,,,,
"3 3 7","0 0 2","EPR - Required For Level Flight         ","Ratio    ","?4",12,,0.001,100,200,,"Engine Types: P&W"
,"0 0 2","N1  - Required For Level Flight         ","% RPM     ","?256",15,,0.015,,,,"Engine Types:  GE"
,"0 0 4","Inertial Roll Rate                      ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 0 5","Inertial Roll Rate                      ","Deg/Sec  ",128,13,,0.015,10,20,,
,"0 1 A","Engine Rating                           ","%        ","0-256",12,,0.063,100,200,,
,"0 3 8","Inertial Roll Rate                      ","Deg/Sec  ",128,13,,0.015,10,20,,
,"1 0 A","HPT Clearance Valve Position            ","%        ","-5 to 105",11,,0.063,500,1000,,
,"1 0 B","HPT Clearance Valve Position            ","%        ","-5 to 105",11,,0.063,500,1000,,
,,,,,,,,,,,
"3 4 0","0 0 3","EPR Actual                              ","         ",4,12,,0.001,100,200,,
,"0 0 4","Inertial Yaw Rate","Deg/Sec",128,13,,0.015,10,20,,
,"0 0 4","Track Angle Grid","Deg"," ?  180",15,,0.0055,20,110,,
,"0 0 5","Inertial Yaw Rate","Deg/Sec",128,13,,0.015,10,20,,
,"0 1 A","EPR Actual                              ","         ",4,12,,0.001,100,200,,
,"0 2 9","EPR Actual (Engine Direct)              ","         ",4,12,,0.001,50,100,,
,"0 2 D","EPR Actual                              ","         ",4,12,,0.001,100,200,,
,"0 2 F","EPR Actual                              ","         ",4,12,,0.001,25,50,,
,"0 3 3","EPR Actual                              ","         ",4,12,,0.001,100,200,,
,"0 3 F","EPR Actual                              ","         ",4,12,,0.001,25,50,,
,"1 3 A","N1 Take Off","% N1Nom",256,14,,0.015,25,50,,
,"1 4 0","Pressure Ratio (Pt/Ps)","Ratio",16,14,,0.001,62.5,125,,
,,,,,,,,,,,
"3 4 1","0 0 2","Target N1                               ","% RPM     ",256,14,,0.015,100,200,,
,"0 0 3","N1 Command                              ","% RPM     ",256,14,,0.015,100,200,,
,"0 0 3","EPR Command                             ","         ",4,12,,0.001,100,200,,
,"0 0 4","Grid Heading","Deg"," ?  180",15,,0.0055,20,110,,
,"0 1 A","N1 Command                              ","% RPM     ",256,14,,0.015,100,200,,
,"0 1 A","EPR Command                             ","         ",4,12,,0.001,100,200,,
,"0 2 9","N1 Command (Engine)                     ","% RPM     ",256,14,,0.015,50,100,,
,"0 2 9","EPR Command (Engine)                    ","         ",4,12,,0.001,50,100,,
,"0 2 F","N1 Command                              ","% RPM     ",256,14,,0.015,25,50,,
,"0 2 F","EPR Command                             ","         ",4,12,,0.001,25,50,,
,"0 3 8","Grid Heading","Deg"," ?  180",15,,0.0055,20,110,,
,"0 3 F","EPR Command                             ","         ",4,12,,0.001,100,200,,
,"0 4 D","I/O S/W REV 1&2",,-1,16,,"N/A","TBD","TBD",,
,"1 0 A","Command Fan Speed                       ","%        ",117.5,13,,0.032,31.3,100,,
,"1 0 B","Command Fan Speed                       ","%        ",117.5,13,,0.032,31.3,100,,
,"1 3 A","N1 Reference","% N1Nom",256,14,,0.015,25,50,,
,"1 4 0","Pressure Ratio (Ps/Pso)","Ratio",4,12,,0.001,62.5,125,,
,,,,,,,,,,,
"3 4 2","0 0 2","N1 Bug Drive                            ","% RPM     ",256,14,,0.015,100,200,,
,"0 0 3","N1 Limit                                ","% RPM     ",256,14,,0.015,100,200,,
,"0 0 3","EPR Limit                               ","         ",4,12,,0.001,100,200,,
,"0 1 A","N1 Maximum                              ","% RPM     ",256,14,,0.015,100,200,,
,"0 1 A","EPR Maximum                             ","         ",4,12,,0.001,100,200,,
,"0 2 9","N1 Limit (TCC)                          ","% RPM     ",256,14,,0.015,100,200,,
,"0 2 9","EPR Limit (TOC)                         ","         ",4,12,,0.001,100,200,,
,"0 2 F","Maximum Available EPR                   ","         ",4,12,,0.001,100,200,,
,"0 3 B","EPR Limit",,4,12,,0.001,150,250,,
,"0 3 B","N1 Limit","% RPM",256,14,,0.015,150,250,,
,"0 3 F","Maximum Available EPR                   ","         ",4,12,,0.001,100,200,,
,"0 4 D","S/W REV-Tank",,-1,16,,"N/A","TBD","TBD",,
,"1 0 A","Max Allowed Fan Speed                   ","%        ",117.5,13,,0.032,100,500,,
,"1 0 B","Max Allowed Fan Speed                   ","%        ",117.5,13,,0.032,100,500,,
,"1 4 0","Air Density Ratio","Ratio",4,12,,0.001,250,500,,
,,,,,,,,,,,
"3 4 3","0 0 3","N1 Derate                               ","% RPM     ",256,14,,0.015,100,200,,
,"0 0 3","EPR Rate                                ","         ",4,12,,0.001,100,200,,
,"0 1 A","N1 Demand                               ","% RPM     ",256,12,,0.063,20,50,,
,"1 0 A","N1 Command vs. TLA                      ","%        ",117.5,13,,0.032,31.3,100,,
,"1 0 B","N1 Command vs. TLA                      ","%        ",117.5,13,,0.032,31.3,100,,
,,,,,,,,,,,
"3 4 4","0 1 A","N2                                      ","% RPM     ",256,14,,0.015,50,100,,
,"0 1 C","N2                                      ","% RPM     ",256,14,,0.015,50,100,,
,"0 2 9","N2                                      ","% RPM     ",256,14,,0.015,50,100,,
,"0 2 F","N2                                      ","% RPM     ",256,14,,0.015,25,50,,
,"0 3 3","N2                                      ","% RPM     ",256,14,,0.015,50,200,,
,"0 3 F","N2                                      ","% RPM     ",256,14,,0.015,25,50,,
,"1 0 A","Selected Actual Core Speed              ","%        ",128,12,,0.063,31.3,100,,
,"1 0 B","Selected Actual Core Speed              ","%        ",128,12,,0.063,31.3,100,,
,"1 3 A","N2 Speed","% RPM",256,14,,0.015,25,50,,
,"0 D 0","N2","% RPM",256,13,,0.03,,,,"SDI 1 = L/SDI 2 = R"
,,,,,,,,,,,
"3 4 5","0 1 A","Exhaust Gas Temperature                 ","Deg C    ",2048,12,,0.5,100,200,,
,"0 1 C","Exhaust Gas Temperature                 ","Deg C    ",2048,12,,0.5,100,200,,
,"0 2 9","Exhaust Gas Temperature                 ","Deg C    ",2048,12,,0.5,50,100,,
,"0 2 F","Exhaust Gas Temperature                 ","Deg C    ",2048,12,,0.5,25,50,,
,"0 3 3","Exhaust Gas Temperature                 ","Deg C    ",2048,12,,0.5,100,200,,
,"0 3 F","Exhaust Gas Temperature                 ","Deg C    ",2048,12,,0.5,25,50,,
,"1 0 A","Selected Exhaust Gas Temp (Total)","Deg C    ","-55 to 1100",11,,1,62.5,250,,
,"1 0 B","Selected Exhaust Gas Temp (Total)","Deg C    ","-55 to 1100",11,,1,62.5,250,,
,"1 3 A","EGT Trimmed","Deg C",2048,12,,0.5,25,50,,
,"0 D 0","EGT","Deg C",2048,12,,0.5,,,,"SDI 1 = L/SDI 2 = R"
,,,,,,,,,,,
"3 4 6","0 0 3","N1 Actual                               ","% RPM     ",256,14,,0.015,100,200,,
,"0 1 A","N1 Actual                               ","% RPM     ",256,14,,0.015,100,200,,
,"0 2 F","N1 Actual                               ","% RPM     ",256,14,,0.015,25,50,,
,"0 3 3","N1 Actual                               ","% RPM     ",256,14,,0.015,50,200,,
,"0 3 F","N1 Actual                               ","% RPM     ",256,14,,0.015,25,50,,
,"0 4 D","Cable Cap-Hi-Z","PF",65535,15,,2,100,200,,
,"1 0 A","Selected Actual Fan Speed               ","%        ",128,12,,0.063,31.3,100,,
,"1 0 B","Selected Actual Fan Speed               ","%        ",128,12,,0.063,31.3,100,,
,"1 3 A","N1 Speed Actual","% N1Nom",256,14,,0.015,25,50,,
,"0 D 0","N1","% RPM",256,13,,0.03,,,,"SDI 1 = L/SDI 2 = R"
,,,,,,,,,,,
"3 4 7","0 2 9","Fuel Flow (Engine)                      ","Lbs/Hr   ",32768,12,,8,50,100,,
,"1 0 A","LPT Clearance Valve Position            ","%        ","-5 to 105",11,,0.063,500,1000,,
,"1 0 B","LPT Clearance Valve Position            ","%        ","-5 to 105",11,,0.063,500,1000,,
,"1 3 A","Fuel Flow","Lbs/Hr",32768,14,,2,50,100,,
,"0 D 0","Fuel Flow","Lbs/Hr",32768,12,,8,,,,"SDI 1 = L/SDI 2 = R"
,,,,,,,,,,,
"3 5 2","1 4 0 ","Maintenance Flight Controller","Flights","524, 287",19,,1,,,,
,,,,,,,,,,,
"3 5 3","0 D 0","Vibration","Scalar",5.12,8,,0.02,,,,"SDI 1 = L/SDI 2 = R"
,,,,,,,,,,,
"3 5 4","0 3 D","N1 Vibration","Scalar",5.12,9,,0.01,,,,"Bit 11-Chan. A
Bit 12-Chan. B"
,,,,,,,,,,,
"3 5 5","0 3 D","N2 Vibration","Scalar",5.12,9,,0.01,,,,"Bit 11-Chan. A
Bit 12-Chan. B"
,,,,,,,,,,,
"3 5 6","0 3 D","N2 Vibration","Scalar",5.12,9,,0.01,,,,"Bit 11-Chan. A
Bit 12-Chan. B"
,,,,,,,,,,,
"3 5 7","0 3 D","BB Vibration","Scalar",5.12,9,,0.01,,,,"Bit 11-Chan. A
Bit 12-Chan. B"
,,,,,,,,,,,
"3 6 0","0 0 2","Flight Information",,,,,,,,,06/01/33
,"0 0 4","Potential Vertical Speed                ","Ft/Min   ",32768,15,,1,10,20,,
,"0 0 5","Potential Vertical Speed                ","Ft/Min   ",32768,15,,1,25,50,,
,"0 3 8","Potential Vertical Speed                ","Ft/Min   ",32768,15,,1,10,20,,
,"0 3 D","N1 Rotor Imbalance Angle","Deg.","?180",9,,1,,,,"Bit 11-Chan. A
Bit 12-Chan. B"
,"0 5 6","Flight Information",,,,,,,,,06/01/33
,"0 6 0","Flight Information",,,,,,,,,06/01/33
,"1 0 A","Throttle Rate of Change                 ","Deg/Sec  ","?16",09/09/13,,1,31.3,100,,"See Notes [6] & [7]"
,"1 0 B","Throttle Rate of Change                 ","Deg/Sec  ","?16",09/09/13,,1,31.3,100,,"See Notes [6] & [7]"
,"1 4 2","RAIM Status Word","N.M.",16,13,,0.00195,,,,
,,,,,,,,,,,
"3 6 1","0 0 4","Altitude (Inertial)                     ","Feet     ",131072,20,,0.125,20,40,,
,"0 0 5","Altitude (Inertial)                     ","Feet     ",131072,18,,0.5,20,40,,
,"0 3 8","Altitude (Inertial)                     ","Feet     ",131072,20,,0.125,20,40,,
,"0 3 D","LPT Rotor Imbalance Angle (737 only)","Deg.","?180",9,,1,,,,"Bit 11-Chan. A
Bit 12-Chan. B"
,"1 0 A","Derivative of Thrust vs. N1             ","DFN/%N1  ",2000,11,,2,62.5,250,,"See Note [6]"
,"1 0 B","Derivative of Thrust vs. N1             ","DFN/%N1  ",2000,11,,2,62.5,250,,"See Note [6]"
,,,,,,,,,,,
"3 6 2","0 0 4","Along Track Horizontal Acceleration               ","g        ",4,12,,0.001,10,20,,
,"0 3 8","Along Track Horizontal Acceleration               ","g        ",4,12,,0.001,10,20,,
,"1 0 A","Derivative of N1 vs. TLA                ","% N1/Deg  ",12,11,,0.008,62.5,250,,"See Note [6]"
,"1 0 B","Derivative of N1 vs. TLA                ","% N1/Deg  ",12,11,,0.008,62.5,250,,"See Note [6]"
,"1 1 5","Range Rate                              ","Knots    ","?8192",13,,1,50,50,,
,,,,,,,,,,,
"3 6 3","0 0 4","Cross Track Acceleration                ","g        ",4,12,,0.001,10,20,,
,"0 3 8","Cross Track Acceleration                ","g        ",4,12,,0.001,10,20,,
,"1 0 A","Corrected Thrust                        ","LBF      ",64000,11,,64,62.5,250,,"See Note [6]"
,"1 0 B","Corrected Thrust                        ","LBF      ",64000,11,,64,62.5,250,,"See Note [6]"
,,,,,,,,,,,
"3 6 4","0 0 4","Vertical Acceleration                   ","g        ",4,12,,0.001,10,20,,
,"0 0 5","Vertical Acceleration                   ","g        ",4,12,,0.001,10,20,,
,"1 3 A","N1 APR Rating","% N1Nom",256,14,,0.015,100,200,,
,"0 3 8","Vertical Acceleration                   ","g        ",4,12,,0.001,10,20,,
,,,,,,,,,,,
"3 6 5","0 0 4","Inertial Vertical Velocity (EFI)        ","Ft/Min   ",32768,15,,1,20,40,,
,"0 0 5","Inertial Vertical Velocity (EFI)        ","Ft/Min   ",32768,15,,1,20,40,,
,"1 3 A","N1 Max Reverse","% N1Nom",256,14,,0.015,100,200,,
,"0 3 8","Inertial Vertical Velocity (EFI)        ","Ft/Min   ",32768,15,,1,20,40,,
,,,,,,,,,,,
"3 6 6","0 0 4","North-South Velocity                            ","Knots    ",4096,15,,0.125,50,100,,06/02/01
,"1 3 A","IGV Position","Deg/180","?180",12,,0.05,100,200,,
,"0 3 8","North-South Velocity                            ","Knots    ",4096,15,,0.125,50,100,,
,,,,,,,,,,,
"3 6 7","0 0 4","East-West Velocity                            ","Knots    ",4096,15,,0.125,100,200,,
,"1 3 A","IGV Request","Deg/180","?180",12,,0.05,100,200,,
,"0 3 8","East-West Velocity                            ","Knots    ",4096,15,,0.125,100,200,,
,,,,,,,,,,,
"3 7 0","0 0 4","g",9,8,13,"UP",0.001,100,200,110,
,"0 0 5","g",9,8,13,"UP",0.001,100,200,110,
,"0 0 B","GNSS Height WGS-84 (HAE)","Feet"," ?  131.072",20,,0.125,,1200,,
,"0 2 5","Decision Height Selected (EFI)          ","Feet     ",8192,16,,0.125,100,200,,
,"0 C 5","Decision Height Selected (EFI)          ","Feet     ",16384,17,,0.125,100,200,,
,,,,,,,,,,,
"3 7 1","X X X","Gen Aviation Equip. Identifier          ","         ",,,,,,,,
,,,,,,,,,,,
"3 7 2","0 0 5","Wind Direction-Magnetic                 ","Deg/180  ","?180",9,,0.35,50,100,,
,"1 0 A","Actual Fan Speed                        ","%        ",128,12,,0.063,500,1000,,
,"1 0 B","Actual Fan Speed                        ","%        ",128,12,,0.063,500,1000,,
,,,,,,,,,,,
"3 7 3","0 0 5","North-South Velocity-Magnetic                   ","Knots    ",4096,15,,0.125,100,200,,
,"1 0 A","Actual Core Speed                       ","%        ",128,12,,0.063,500,1000,,
,"1 0 B","Actual Core Speed                       ","%        ",128,12,,0.063,500,1000,,
,,,,,,,,,,,
"3 7 4","0 0 5","East-West Velocity-Magnetic                   ","Knots    ",4096,15,,0.125,100,200,,
,"1 0 A","Left Thrust Reverser Position           ","%        ","-5+105",11,,0.063,500,1000,,
,"1 0 B","Left Thrust Reverser Position           ","%        ","-5+105",11,,0.063,500,1000,,
,,,,,,,,,,,
"3 7 5","0 0 4","Along Heading Acceleration              ","Gs",4,18,,1.53E-005,50,110,,
,"0 0 5","Along Heading Acceleration              ","g        ",4,12,,0.001,10,20,,
,"0 3 3","Spare DC1                               ","VDC      ",16,12,,0.004,150,250,,
,"0 3 8","Along Heading Acceleration              ","Gs",4,18,,1.53E-005,50,110,,
,"1 0 A","Right Thrust Reverser Position          ","%        ","-5 to 105",11,,0.063,500,1000,,
,"1 0 B","Right Thrust Reverser Position          ","%        ","-5 to 105",11,,0.063,500,1000,,
,"X X X","GPS Differential Correction, Word A",,,,,,,,,"See ARINC 743A"
,,,,,,,,,,,
"3 7 6","0 0 4","Cross Heading Acceleration              ","Gs",4,18,,1.53E-005,50,110,,
,"0 0 5","Cross Heading Acceleration              ","g        ",4,12,,0.001,10,20,,
,"0 3 3","Spare DC2                               ","VDC      ",16,12,,0.004,150,250,,
,"0 3 8","Cross Heading Acceleration              ","Gs",4,18,,1.53E-005,50,110,,
,"X X X","GPS Differential Correction, Word B",,,,,,,,,"See ARINC 743A"
